,zipcode,day_entries,positive
0,11207,605938.0,1942
1,10452,504836.0,2188
2,10468,437553.0,2538
3,10037,414822.0,503
4,10040,414569.0,1052
5,11101,393685.0,587
6,10019,358696.0,575
7,11201,299718.0,639
8,11368,294890.0,4213
9,10472,289617.0,1826
10,10024,287184.0,673
11,11213,276217.0,1331
12,10017,266264.0,155
13,10003,253895.0,487
14,10031,241062.0,1218
15,11208,230696.0,2195
16,10467,224035.0,3143
17,11211,223493.0,1964
18,10455,217666.0,1187
19,10036,213678.0,396
20,10001,202808.0,375
21,11209,201967.0,1073
22,10459,200817.0,1412
23,10025,200510.0,1230
24,10002,194832.0,978
25,11206,190018.0,1474
26,11427,189982.0,770
27,11233,179113.0,1180
28,11223,175760.0,1607
29,11235,171682.0,1926
30,10035,171075.0,900
31,11216,168540.0,680
32,10011,159567.0,563
33,10461,156701.0,1804
34,10460,155803.0,1550
35,10454,154988.0,1064
36,11372,151470.0,2365
37,10038,149587.0,233
38,11226,148783.0,2091
39,11203,145976.0,1929
40,11204,145535.0,1892
41,11220,143015.0,1423
42,10007,137539.0,50
43,11385,135415.0,2022
44,11215,134206.0,583
45,10469,132524.0,2821
46,11225,130560.0,1107
47,11375,128706.0,1513
48,10453,125079.0,2215
49,10023,121974.0,561
50,11435,121100.0,1528
51,10033,117056.0,1240
52,10028,109238.0,514
53,11373,107124.0,3053
54,11229,106614.0,1476
55,10470,104953.0,430
56,10463,103494.0,1804
57,10016,101408.0,727
58,10034,100002.0,663
59,11419,99660.0,1099
60,11221,90928.0,1193
61,10026,90717.0,609
62,10027,88770.0,951
63,11377,85976.0,2061
64,11217,85417.0,553
65,10466,85384.0,2230
66,11237,84969.0,886
67,10458,83464.0,1910
68,11104,83092.0,460
69,10032,79266.0,1382
70,11103,74656.0,517
71,11214,74301.0,1435
72,11236,72949.0,2542
73,11238,70035.0,724
74,10065,67826.0,328
75,11691,65140.0,2138
76,10013,64204.0,245
77,10021,62585.0,580
78,11219,61211.0,2824
79,10029,60973.0,1686
80,10014,60271.0,307
81,10009,59406.0,660
82,11222,57706.0,418
83,11218,53813.0,1603
84,10010,53193.0,277
85,11420,48761.0,1287
86,11418,48520.0,1016
87,11421,44297.0,1127
88,10462,40148.0,2155
89,10012,39891.0,166
90,10022,37842.0,366
91,11106,31327.0,604
92,11692,29418.0,555
93,11234,28024.0,2145
94,11417,26836.0,841
95,10044,25830.0,216
96,11231,24186.0,394
97,11224,23338.0,1072
98,11102,22954.0,568
99,10451,21930.0,1526
100,10030,18609.0,466
101,11415,18326.0,510
102,10039,18204.0,473
103,10004,16047.0,36
104,10006,12837.0,23
105,11230,12771.0,2173
106,11694,8886.0,658
107,11109,8186.0,55
108,11693,6994.0,316
